sim,radiotype,radio,carrier,mcc,mnc,area,cellid,enbrnc,lcid,xarfcn,unit,band,fc,sigl,asu,signal,lat,lon,acc,time,speed,bearing,alt,api,device,rsrq,rssnr,ss,cqi,ta,rssi_cdma,rssi_evdo,ecio_cdma,ecio_evdo
1,LTE,LTE+,Telia LT,246,1,8003,46215947,180531,11,1542,165,3,1839.2,4,67,-73,54.7236486,25.3272725,9.1,1505472621000,2.7,22.0,173.0,25,Sony_SGP771,-6,19.4,31,-1,3,,,,
1,LTE,LTE+,Telia LT,246,1,8003,46215947,180531,11,1542,165,3,1839.2,4,68,-72,54.7239589,25.3271341,4.6,1505472626000,7.3,2.0,164.0,25,Sony_SGP771,-5,23.2,31,-1,3,,,,
1,LTE,LTE+,Telia LT,246,1,8003,46215947,180531,11,1542,165,3,1839.2,4,63,-77,54.7243293,25.3271644,6.1,1505472631000,9.1,7.0,161.0,25,Sony_SGP771,-6,15.4,30,-1,3,,,,
1,LTE,LTE+,Telia LT,246,1,8003,46215947,180531,11,1542,165,3,1839.2,4,56,-84,54.7248515,25.3271995,4.6,1505472637000,9.8,1.0,155.0,25,Sony_SGP771,-9,10.2,30,-1,-1,,,,
1,LTE,LTE+,Telia LT,246,1,8003,46215947,180531,11,1542,165,3,1839.2,4,51,-89,54.7252703,25.3275409,4.6,1505472642000,10.5,33.0,154.0,25,Sony_SGP771,-16,11.2,31,-1,3,,,,
1,LTE,LTE+,Telia LT,246,1,9020,46161951,180320,31,1542,329,3,1839.2,4,58,-82,54.7256801,25.3280659,4.6,1505472648000,7.7,33.0,153.0,25,Sony_SGP771,-10,14.0,31,-1,2,,,,
1,LTE,LTE+,Telia LT,246,1,9020,46161951,180320,31,1542,329,3,1839.2,4,55,-85,54.7258133,25.3282466,4.6,1505472653000,0.6,33.0,152.0,25,Sony_SGP771,-11,5.6,31,-1,-1,,,,
1,LTE,LTE+,Telia LT,246,1,9020,46161951,180320,31,1542,329,3,1839.2,4,55,-85,54.7258625,25.3283395,4.6,1505472675000,2.3,61.0,153.0,25,Sony_SGP771,-11,13.2,30,-1,-1,,,,
1,LTE,LTE+,Telia LT,246,1,9020,46161951,180320,31,1542,329,3,1839.2,4,55,-85,54.7258301,25.3287117,4.6,1505472680000,7.0,118.0,153.0,25,Sony_SGP771,-10,15.0,30,-1,-1,,,,
1,LTE,LTE+,Telia LT,246,1,9020,46161951,180320,31,1542,329,3,1839.2,4,60,-80,54.7255547,25.3293823,4.6,1505472686000,10.2,125.0,156.0,25,Sony_SGP771,-10,14.8,31,-1,1,,,,
1,LTE,LTE+,Telia LT,246,1,9020,46161951,180320,31,1542,329,3,1839.2,4,55,-85,54.7253275,25.3299547,4.6,1505472692000,6.0,124.0,157.0,25,Sony_SGP771,-9,13.6,29,-1,1,,,,
1,LTE,LTE+,Telia LT,246,1,9020,46161951,180320,31,1542,329,3,1839.2,4,50,-90,54.7251568,25.33038,4.6,1505472697000,7.2,124.0,158.0,25,Sony_SGP771,-13,17.8,28,-1,-1,,,,
1,LTE,LTE,Telia LT,246,1,9020,46161941,180320,21,1542,325,3,1839.2,4,63,-77,54.7248782,25.3310818,4.6,1505472703000,10.1,122.0,160.0,25,Sony_SGP771,-6,10.2,31,-1,-1,,,,
1,LTE,LTE+,Telia LT,246,1,9020,46161941,180320,21,1542,325,3,1839.2,4,59,-81,54.724588,25.3319747,4.6,1505472709000,11.8,116.0,160.0,25,Sony_SGP771,-6,14.4,30,-1,2,,,,
